,model_name,best_score_accuracy,best_params
0,KNN,0.7250000000000001,"{'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'uniform', 'preprocessing__num__pca__n_components': 10}"
1,RandomForest,0.7175,"{'model__max_depth': 10, 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'preprocessing__num__pca__n_components': 10}"
2,CatBoost,0.71,"{'model__depth': 10, 'preprocessing__num__pca__n_components': 10}"
3,LogisticRegression,0.6824999999999999,"{'model__fit_intercept': True, 'preprocessing__num__pca__n_components': 20}"
4,DecisionTree,0.6725,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'preprocessing__num__pca__n_components': 10}"
