,model_name,best_score_accuracy,best_params
0,CatBoost,0.76,"{'model__depth': 10, 'preprocessing__num__pca__n_components': 20}"
1,RandomForest,0.75,"{'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100, 'preprocessing__num__pca__n_components': 20}"
2,KNN,0.7362500000000001,"{'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'distance', 'preprocessing__num__pca__n_components': 20}"
3,LogisticRegression,0.73125,"{'model__fit_intercept': True, 'preprocessing__num__pca__n_components': 20}"
4,DecisionTree,0.6912499999999999,"{'model__max_depth': 15, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'preprocessing__num__pca__n_components': 20}"
