,model_name,best_score_accuracy,best_params
0,KNN,0.68125,"{'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'uniform', 'preprocessing__num__pca__n_components': 20}"
1,RandomForest,0.6725,"{'model__max_depth': 10, 'model__max_features': 'log2', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200, 'preprocessing__num__pca__n_components': 20}"
2,CatBoost,0.665,"{'model__depth': 10, 'preprocessing__num__pca__n_components': 20}"
3,DecisionTree,0.6399999999999999,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'preprocessing__num__pca__n_components': 10}"
4,LogisticRegression,0.6212500000000001,"{'model__fit_intercept': True, 'preprocessing__num__pca__n_components': 20}"
